"","City","Average_Rating"
"139909","Bengaluru",4.38141523395392
"194640","Bera",4.52083333333333
"194708","Betalbatim",4.50584795321637
"195078","Bhadrachalam",4.22012578616352
"195082","Betul",4.40909090909091
"195101","Beypore",4.2
"195109","Bhabhua",3.83333333333333
"195256","Bhadrak",4.20408163265306
"195319","Bhagalpur",4.03846153846154
"195337","Bhadravati",4
"195424","Bhagsu Nag",4.26315789473684
"195443","Bhagani",2.33333333333333
"195456","Bhagdara",5
"195506","Bhandara",4.2
"195509","Bhalukpong",3.73684210526316
"195513","Bhairapur",5
"195538","Bhalki",3.8
"195551","Bhandardara",4.36111111111111
"195642","Bharatpur",4.23894230769231
"197729","Bharmour",4.07246376811594
"197755","Bharuch",4.30550621669627
"198369","Bhatkal",4.28571428571429
"198459","Bhavani",3.77777777777778
"198483","Bhavnagar",4.21014492753623
"199169","Bhawanipatna",4.62162162162162
"199204","Bhilai",4.1625
"199370","Bhilwara",4.39622641509434
"199395","Bhildi",4
"199454","Bhimashankar",4.18925518925519
"200302","Bhimavaram",4.23529411764706
"200348","Bhimtal",4.34615384615385
"201271","Bhinar",4.66666666666667
"201291","Bhind",4.25
"201315","Bhitarkanika National Park",4.23611111111111
"201373","Bhiwadi",3.93939393939394
"201422","Bhiwandi",3.90909090909091
"201426","Bhiwani",4.10204081632653
"201455","Bhojpur",4.20833333333333
"201622","Bhopal",4.27479338842975
"206942","Bhowali",4.30208333333333
"207026","Bhubaneswar",4.13458374465285
"213102","Bhuj",4.16381940207444
"216402","Bhuvanagiri",4.27659574468085
"216412","Bhuntar",4.18181818181818
"216444","Bhusawal",4
"216474","Bidar",4.0609243697479
"216494","Bicholim",4.75
"216497","Bidadi",4.71428571428571
"216525","Bidarakatte",4.5
"216945","Bijapur",3.88768115942029
"218059","Bijolia",3.75
"218061","Bikaner",4.19599018003273
"220516","Bilaspur",4.20689655172414
"220537","Bikkavolu",4
"220923","Bilimora",4.48
"220942","Binsar",4.16528925619835
"221054","Birpara",3.80952380952381
"221065","Bir",4.45833333333333
"221132","Bishnupur",3.92140921409214
"221497","Bodh Gaya",4.22546419098143
"221550","Blathykavala",3.5
"223751","Bogmalo",4.35684647302905
"224004","Bokakhat",4.14285714285714
"224008","Boisar",5
"224009","Bokaro Steel City",4.28476821192053
"224147","Bolpur",4
"224331","Bomdila",4.2122641509434
"224513","Bongaigaon",4.46666666666667
"224550","Bordi",4.30128205128205
"224700","Borsad",3.84615384615385
"224740","Brahmadesam",3
"224741","Borid",3
"224742","Brahmapur",4.10152284263959
"224939","Budhauli",4
"224944","Budaun",4.5
"224946","Buldana",4.38532110091743
"224950","Bulandshahr",3.33333333333333
"225048","Bundi",4.27725856697819
"226316","Burhanpur",4.04901960784314
"226372","Burdwan",4.28571428571429
"226448","Burwa",3
"226459","Buxar",3.66666666666667
"226468","Byndoor",4.6
"226471","Calangute",4.23199749530369
"229664","Canacona",4.47325102880658
"229677","Palolem",4.10548523206751
"233066","Cansaulim",4.47445255474453
"233103","Canning",4.5
"233616","Carambolim",4.25
